avg_cpu_util,avg_ready_q,avg_service,avg_turnaround,completed,cpu0_util,cpu1_util,cpu2_util,cpu3_util,lambda,num_cpus,scenario,sim_time,throughput
0.249552,0.351009,0.02,0.027091,10000,0.244841,0.245648,0.257225,0.250493,50,4,1,200.799275,49.800977
0.299457,0.533585,0.02,0.028972,10000,0.293804,0.294772,0.308665,0.300586,60,4,1,167.335701,59.760111
0.349361,0.767729,0.02,0.031054,10000,0.342766,0.343896,0.360104,0.350678,70,4,1,143.432714,69.719102
0.399264,1.085251,0.02,0.033663,10000,0.391727,0.393018,0.411541,0.400769,80,4,1,125.505474,79.677799
0.449169,1.509225,0.02,0.03688,10000,0.440706,0.442136,0.462975,0.450857,90,4,1,111.562637,89.635745
0.499167,2.063018,0.02,0.040756,10000,0.489663,0.491658,0.514405,0.500941,100,4,1,100.408552,99.59311
0.549047,2.777069,0.02,0.045391,10000,0.538573,0.540795,0.565816,0.551006,110,4,1,91.285351,109.546602
0.59889,3.711857,0.02,0.051101,10000,0.587465,0.589889,0.61718,0.601026,120,4,1,83.688147,119.491235
0.648513,4.974032,0.02,0.058446,10000,0.63623,0.638143,0.668378,0.651304,130,4,1,77.277707,129.403426
0.697992,6.669362,0.02,0.067775,10000,0.685327,0.685873,0.719522,0.701246,140,4,1,71.788432,139.29821
0.747486,9.03712,0.02,0.080262,10000,0.734021,0.73391,0.770563,0.751447,150,4,1,67.054394,149.132658
0.249965,0.007363,0.02,0.020154,10000,0.253555,0.251591,0.250198,0.244518,50,4,2,200.229517,49.942686
0.29642,0.011642,0.02,0.020119,10000,0.298813,0.305974,0.2973,0.283593,60,4,2,168.034116,59.511724
0.340898,0.025836,0.02,0.02025,10000,0.334939,0.341148,0.344015,0.34349,70,4,2,145.781071,68.596011
0.386083,0.049071,0.02,0.020281,10000,0.390196,0.383924,0.382733,0.387478,80,4,2,127.331623,78.535086
0.447961,0.084295,0.02,0.0211,10000,0.446268,0.461362,0.44417,0.440043,90,4,2,112.511145,88.880084
0.490185,0.141536,0.02,0.021336,10000,0.494804,0.487703,0.494333,0.483899,100,4,2,101.527543,98.49544
0.549192,0.260304,0.02,0.022245,10000,0.552626,0.550032,0.544004,0.550107,110,4,2,90.539258,110.449326
0.606054,0.534284,0.02,0.024349,10000,0.611807,0.610202,0.602963,0.599245,120,4,2,82.302153,121.503505
0.635355,0.58725,0.02,0.024159,10000,0.635996,0.638539,0.640479,0.626405,130,4,2,77.229111,129.484852
0.710868,1.022205,0.02,0.027327,10000,0.723081,0.711183,0.706122,0.703086,140,4,2,70.707523,141.427667
0.736872,1.208573,0.02,0.028032,10000,0.739878,0.73595,0.741991,0.729669,150,4,2,67.478407,148.195555
